Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2/8/2023,Colorado,2021,22,6/5/2021,827.00,721.00,,163.00,29.00,32.00,,33.00,,,,144.00,34.00,69.00,58.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,23,6/12/2021,883.00,739.00,11.00,164.00,18.00,33.00,,45.00,,10.00,,155.00,35.00,48.00,40.00,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,24,6/19/2021,842.00,711.00,10.00,140.00,19.00,38.00,,38.00,17.00,13.00,,151.00,32.00,42.00,37.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,25,6/26/2021,800.00,673.00,10.00,126.00,27.00,21.00,,42.00,14.00,10.00,,151.00,31.00,43.00,31.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,26,7/3/2021,849.00,730.00,,165.00,17.00,29.00,,34.00,14.00,11.00,,146.00,42.00,44.00,36.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,27,7/10/2021,837.00,718.00,13.00,147.00,30.00,36.00,,36.00,13.00,10.00,,137.00,31.00,55.00,45.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,28,7/17/2021,841.00,722.00,,161.00,29.00,27.00,,45.00,11.00,11.00,,135.00,35.00,38.00,34.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,29,7/24/2021,863.00,749.00,10.00,163.00,19.00,28.00,,43.00,12.00,14.00,,162.00,49.00,45.00,41.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,30,7/31/2021,835.00,717.00,,146.00,14.00,29.00,,43.00,14.00,11.00,,162.00,33.00,44.00,37.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,31,8/7/2021,843.00,718.00,,152.00,25.00,29.00,,49.00,,15.00,,145.00,38.00,42.00,33.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,32,8/14/2021,904.00,773.00,10.00,172.00,20.00,23.00,,30.00,,,,156.00,47.00,64.00,57.00,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,33,8/21/2021,914.00,781.00,,167.00,15.00,31.00,,38.00,15.00,10.00,,154.00,34.00,88.00,75.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,34,8/28/2021,926.00,791.00,14.00,177.00,24.00,33.00,,35.00,12.00,11.00,,149.00,38.00,96.00,80.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,35,9/4/2021,911.00,793.00,11.00,147.00,24.00,33.00,,49.00,11.00,,,153.00,31.00,106.00,99.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,36,9/11/2021,922.00,793.00,15.00,166.00,24.00,30.00,,45.00,12.00,,,148.00,38.00,101.00,90.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,37,9/18/2021,979.00,831.00,14.00,172.00,24.00,33.00,,43.00,13.00,11.00,,162.00,38.00,122.00,108.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,38,9/25/2021,967.00,852.00,,143.00,23.00,36.00,,39.00,12.00,11.00,,152.00,54.00,130.00,117.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,39,10/2/2021,1033.00,907.00,12.00,167.00,26.00,35.00,,41.00,10.00,,,164.00,23.00,157.00,150.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,40,10/9/2021,991.00,860.00,,141.00,15.00,32.00,,49.00,21.00,10.00,,164.00,36.00,171.00,150.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,41,10/16/2021,1035.00,899.00,11.00,149.00,19.00,29.00,,51.00,13.00,21.00,,164.00,45.00,157.00,145.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,42,10/23/2021,1043.00,939.00,15.00,171.00,27.00,33.00,,49.00,19.00,10.00,,172.00,42.00,196.00,174.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,43,10/30/2021,1069.00,945.00,13.00,180.00,20.00,26.00,11.00,46.00,,10.00,,170.00,44.00,218.00,196.00,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,44,11/6/2021,1164.00,1024.00,11.00,155.00,36.00,45.00,,49.00,21.00,,,180.00,51.00,254.00,235.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,45,11/13/2021,1120.00,1012.00,10.00,158.00,32.00,40.00,,56.00,15.00,,,145.00,47.00,285.00,263.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,46,11/20/2021,1165.00,1047.00,,152.00,25.00,45.00,,41.00,13.00,,10.00,171.00,44.00,291.00,269.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2/8/2023,Colorado,2021,47,11/27/2021,1182.00,1044.00,14.00,163.00,21.00,43.00,,51.00,16.00,19.00,,177.00,43.00,278.00,262.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,48,12/4/2021,1169.00,1057.00,,152.00,24.00,36.00,11.00,56.00,13.00,11.00,,186.00,38.00,293.00,271.00,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,49,12/11/2021,1128.00,995.00,,139.00,25.00,27.00,,50.00,16.00,14.00,,167.00,34.00,285.00,264.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,50,12/18/2021,1137.00,1023.00,12.00,163.00,27.00,32.00,,67.00,12.00,10.00,,174.00,35.00,252.00,232.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,51,12/25/2021,1098.00,978.00,,155.00,22.00,46.00,,49.00,19.00,12.00,,189.00,40.00,213.00,196.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2021,52,1/1/2022,1141.00,1028.00,15.00,167.00,29.00,45.00,,56.00,17.00,,,189.00,42.00,197.00,174.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,1,1/8/2022,1183.00,1072.00,13.00,180.00,31.00,37.00,20.00,60.00,24.00,19.00,,204.00,55.00,197.00,157.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,2,1/15/2022,1187.00,1066.00,,179.00,32.00,47.00,11.00,56.00,,17.00,,197.00,42.00,243.00,202.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,3,1/22/2022,1196.00,1076.00,,164.00,29.00,56.00,16.00,59.00,12.00,13.00,,198.00,44.00,279.00,231.00,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,4,1/29/2022,1150.00,1033.00,12.00,151.00,42.00,41.00,14.00,55.00,10.00,10.00,,189.00,42.00,270.00,214.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,5,2/5/2022,1115.00,975.00,10.00,143.00,33.00,41.00,,55.00,16.00,15.00,,184.00,43.00,244.00,187.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,6,2/12/2022,1025.00,918.00,13.00,166.00,26.00,29.00,10.00,50.00,16.00,13.00,,156.00,54.00,189.00,149.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,7,2/19/2022,963.00,845.00,,161.00,14.00,27.00,,57.00,11.00,12.00,,156.00,46.00,140.00,104.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,8,2/26/2022,913.00,814.00,,152.00,21.00,33.00,,48.00,14.00,,,166.00,54.00,108.00,80.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,9,3/5/2022,943.00,828.00,,148.00,21.00,37.00,,37.00,16.00,15.00,,190.00,50.00,82.00,55.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,10,3/12/2022,924.00,795.00,,154.00,26.00,41.00,,49.00,14.00,15.00,,167.00,45.00,63.00,39.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,11,3/19/2022,848.00,748.00,16.00,152.00,17.00,29.00,,40.00,19.00,12.00,,160.00,49.00,50.00,28.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,12,3/26/2022,831.00,724.00,12.00,143.00,25.00,35.00,,47.00,13.00,,,153.00,43.00,43.00,22.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,13,4/2/2022,879.00,769.00,10.00,157.00,22.00,37.00,,35.00,11.00,13.00,,189.00,32.00,26.00,14.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,14,4/9/2022,819.00,715.00,13.00,177.00,25.00,31.00,12.00,46.00,12.00,,,137.00,40.00,23.00,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
2/8/2023,Colorado,2022,15,4/16/2022,883.00,766.00,,154.00,27.00,52.00,,44.00,17.00,11.00,,178.00,48.00,18.00,13.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,16,4/23/2022,861.00,752.00,12.00,148.00,28.00,26.00,,50.00,,14.00,,184.00,42.00,19.00,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
2/8/2023,Colorado,2022,17,4/30/2022,831.00,724.00,10.00,162.00,17.00,34.00,,51.00,17.00,,,141.00,41.00,21.00,10.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,18,5/7/2022,847.00,729.00,,171.00,14.00,50.00,12.00,52.00,12.00,,12.00,144.00,35.00,16.00,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
2/8/2023,Colorado,2022,19,5/14/2022,869.00,749.00,11.00,156.00,20.00,27.00,13.00,49.00,21.00,,,156.00,48.00,20.00,14.00,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,20,5/21/2022,914.00,812.00,,175.00,28.00,39.00,16.00,62.00,14.00,10.00,,178.00,37.00,31.00,19.00,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,21,5/28/2022,857.00,737.00,11.00,153.00,15.00,40.00,11.00,46.00,13.00,12.00,,163.00,44.00,27.00,14.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,22,6/4/2022,856.00,740.00,,158.00,22.00,44.00,,46.00,15.00,,,181.00,28.00,46.00,22.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,23,6/11/2022,866.00,733.00,11.00,154.00,24.00,33.00,13.00,39.00,10.00,,,142.00,35.00,39.00,23.00,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,24,6/18/2022,851.00,733.00,11.00,143.00,22.00,26.00,,40.00,14.00,,,170.00,38.00,47.00,30.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,25,6/25/2022,911.00,784.00,,211.00,21.00,34.00,,44.00,10.00,13.00,,158.00,35.00,41.00,24.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,26,7/2/2022,838.00,718.00,,144.00,23.00,47.00,,34.00,,,,147.00,45.00,42.00,25.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,27,7/9/2022,875.00,748.00,10.00,180.00,18.00,26.00,,42.00,13.00,14.00,,162.00,46.00,32.00,18.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,28,7/16/2022,819.00,702.00,,152.00,23.00,25.00,,37.00,11.00,10.00,,158.00,45.00,39.00,20.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,29,7/23/2022,878.00,752.00,12.00,172.00,21.00,32.00,,45.00,15.00,,,148.00,42.00,51.00,29.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,30,7/30/2022,824.00,703.00,,159.00,20.00,24.00,,39.00,,11.00,,159.00,34.00,48.00,28.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,31,8/6/2022,858.00,745.00,10.00,181.00,22.00,35.00,,33.00,12.00,11.00,,160.00,24.00,33.00,19.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,32,8/13/2022,762.00,636.00,,127.00,19.00,30.00,,34.00,10.00,,,144.00,36.00,33.00,17.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,33,8/20/2022,799.00,681.00,,138.00,29.00,25.00,,43.00,,12.00,,129.00,52.00,33.00,16.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,34,8/27/2022,815.00,691.00,19.00,164.00,18.00,32.00,,37.00,15.00,,15.00,156.00,31.00,20.00,13.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2/8/2023,Colorado,2022,35,9/3/2022,834.00,721.00,,165.00,22.00,38.00,,47.00,12.00,,,138.00,32.00,36.00,24.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,36,9/10/2022,857.00,735.00,16.00,153.00,25.00,25.00,,38.00,12.00,11.00,,158.00,48.00,33.00,19.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,37,9/17/2022,858.00,741.00,17.00,175.00,18.00,35.00,,51.00,12.00,12.00,,155.00,34.00,29.00,12.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,38,9/24/2022,863.00,746.00,,184.00,14.00,28.00,11.00,40.00,,,11.00,144.00,40.00,40.00,19.00,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2/8/2023,Colorado,2022,39,10/1/2022,879.00,749.00,13.00,159.00,22.00,36.00,,45.00,12.00,13.00,,142.00,46.00,32.00,17.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,40,10/8/2022,781.00,679.00,,158.00,19.00,31.00,,43.00,10.00,,,142.00,40.00,26.00,14.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Colorado,2022,41,10/15/2022,859.00,739.00,12.00,156.00,32.00,39.00,,45.00,12.00,14.00,15.00,143.00,27.00,28.00,16.00,,,,,,,Suppressed (counts 1-9),,,,,,,,
2/8/2023,Colorado,2022,42,10/22/2022,909.00,796.00,11.00,160.00,28.00,43.00,12.00,49.00,17.00,13.00,20.00,163.00,42.00,26.00,14.00,,,,,,,,,,,,,,,
2/8/2023,Colorado,2022,43,10/29/2022,859.00,747.00,,160.00,26.00,45.00,,51.00,12.00,12.00,17.00,141.00,37.00,33.00,25.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
2/8/2023,Colorado,2022,44,11/5/2022,915.00,796.00,10.00,143.00,21.00,34.00,,57.00,12.00,,34.00,154.00,36.00,43.00,25.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2/8/2023,Colorado,2022,45,11/12/2022,933.00,844.00,,177.00,23.00,43.00,,32.00,10.00,14.00,39.00,169.00,41.00,52.00,29.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,,,,
2/8/2023,Colorado,2022,46,11/19/2022,949.00,865.00,,164.00,28.00,37.00,10.00,47.00,13.00,10.00,48.00,167.00,54.00,63.00,39.00,,,Suppressed (counts 1-9),,,,,,,,,,,,
2/8/2023,Colorado,2022,47,11/26/2022,967.00,891.00,10.00,159.00,20.00,37.00,11.00,46.00,14.00,11.00,67.00,197.00,45.00,56.00,31.00,,,,,,,,,,,,,,,
2/8/2023,Colorado,2022,48,12/3/2022,948.00,873.00,10.00,147.00,32.00,46.00,16.00,64.00,20.00,10.00,44.00,190.00,32.00,55.00,32.00,,,,,,,,,,,,,,,
2/8/2023,Colorado,2022,49,12/10/2022,989.00,925.00,11.00,169.00,18.00,36.00,13.00,51.00,19.00,,68.00,178.00,46.00,60.00,41.00,,,,,,,,,,Suppressed (counts 1-9),,,,,
2/8/2023,Colorado,2022,50,12/17/2022,932.00,884.00,,185.00,26.00,35.00,12.00,64.00,18.00,15.00,87.00,153.00,42.00,45.00,27.00,,,Suppressed (counts 1-9),,,,,,,,,,,,
2/8/2023,Colorado,2022,51,12/24/2022,996.00,948.00,14.00,165.00,20.00,36.00,19.00,61.00,14.00,11.00,107.00,169.00,48.00,51.00,29.00,,,,,,,,,,,,,,,
2/8/2023,Colorado,2022,52,12/31/2022,934.00,890.00,,168.00,22.00,38.00,22.00,60.00,10.00,16.00,100.00,141.00,39.00,45.00,27.00,,,Suppressed (counts 1-9),,,,,,,,,,,,
2/8/2023,Colorado,2023,1,1/7/2023,897.00,858.00,12.00,147.00,25.00,36.00,21.00,64.00,13.00,12.00,87.00,156.00,36.00,52.00,26.00,,,,,,,,,,,,,,,
2/8/2023,Colorado,2023,2,1/14/2023,805.00,801.00,,134.00,20.00,30.00,13.00,52.00,16.00,21.00,82.00,131.00,41.00,39.00,18.00,,,Suppressed (counts 1-9),,,,,,,,,,,,
2/8/2023,Colorado,2023,3,1/21/2023,729.00,729.00,,130.00,19.00,43.00,11.00,52.00,11.00,13.00,75.00,133.00,45.00,31.00,20.00,,,Suppressed (counts 1-9),,,,,,,,,,,,
2/8/2023,Colorado,2023,4,1/28/2023,574.00,574.00,,97.00,13.00,30.00,,48.00,,,75.00,97.00,25.00,12.00,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
2/8/2023,Connecticut,2020,1,1/4/2020,633.00,574.00,11.00,123.00,12.00,15.00,,18.00,11.00,13.00,,160.00,29.00,0.00,0.00,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,2,1/11/2020,631.00,576.00,15.00,133.00,14.00,19.00,19.00,35.00,,,,135.00,28.00,0.00,0.00,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,3,1/18/2020,639.00,592.00,,143.00,10.00,23.00,13.00,28.00,17.00,11.00,13.00,151.00,22.00,0.00,0.00,,,Suppressed (counts 1-9),,,,,,,,,,,,
2/8/2023,Connecticut,2020,4,1/25/2020,653.00,598.00,14.00,137.00,16.00,27.00,14.00,27.00,13.00,,,155.00,26.00,0.00,0.00,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,5,2/1/2020,686.00,612.00,11.00,135.00,15.00,13.00,22.00,33.00,13.00,17.00,,164.00,28.00,0.00,0.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,6,2/8/2020,652.00,598.00,20.00,130.00,13.00,18.00,21.00,28.00,16.00,,,148.00,20.00,0.00,0.00,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,7,2/15/2020,635.00,587.00,15.00,120.00,15.00,23.00,18.00,32.00,10.00,11.00,10.00,151.00,32.00,0.00,0.00,,,,,,,,,,,,,,,
2/8/2023,Connecticut,2020,8,2/22/2020,653.00,598.00,14.00,140.00,18.00,12.00,21.00,19.00,16.00,10.00,,163.00,25.00,0.00,0.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,9,2/29/2020,638.00,579.00,13.00,113.00,18.00,20.00,27.00,33.00,,11.00,,155.00,28.00,0.00,0.00,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,10,3/7/2020,625.00,565.00,,108.00,20.00,13.00,,37.00,15.00,15.00,,140.00,25.00,0.00,0.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,11,3/14/2020,632.00,581.00,13.00,128.00,16.00,17.00,15.00,27.00,15.00,11.00,13.00,131.00,37.00,0.00,0.00,,,,,,,,,,,,,,,
2/8/2023,Connecticut,2020,12,3/21/2020,665.00,609.00,10.00,150.00,19.00,14.00,14.00,25.00,12.00,10.00,,144.00,33.00,11.00,10.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,13,3/28/2020,751.00,693.00,14.00,125.00,13.00,22.00,14.00,37.00,14.00,,11.00,163.00,37.00,49.00,46.00,,,,,,,,,,Suppressed (counts 1-9),,,,,
2/8/2023,Connecticut,2020,14,4/4/2020,891.00,824.00,14.00,121.00,14.00,26.00,20.00,25.00,15.00,11.00,13.00,158.00,30.00,215.00,208.00,,,,,,,,,,,,,,,
2/8/2023,Connecticut,2020,15,4/11/2020,1260.00,1195.00,14.00,139.00,27.00,34.00,16.00,35.00,12.00,12.00,,175.00,24.00,526.00,503.00,,,,,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,16,4/18/2020,1389.00,1328.00,15.00,131.00,18.00,24.00,11.00,19.00,16.00,17.00,14.00,173.00,26.00,686.00,659.00,,,,,,,,,,,,,,,
2/8/2023,Connecticut,2020,17,4/25/2020,1338.00,1286.00,10.00,120.00,21.00,26.00,10.00,24.00,20.00,10.00,15.00,133.00,31.00,686.00,659.00,,,,,,,,,,,,,,,
2/8/2023,Connecticut,2020,18,5/2/2020,1165.00,1114.00,,129.00,22.00,30.00,11.00,22.00,12.00,20.00,,131.00,26.00,577.00,549.00,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,19,5/9/2020,1052.00,992.00,12.00,123.00,17.00,28.00,,19.00,22.00,,,122.00,27.00,468.00,443.00,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,20,5/16/2020,954.00,891.00,,119.00,16.00,19.00,,23.00,14.00,13.00,,137.00,24.00,384.00,364.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,21,5/23/2020,823.00,768.00,,107.00,14.00,23.00,,27.00,17.00,10.00,,122.00,27.00,284.00,258.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,22,5/30/2020,759.00,709.00,,117.00,12.00,22.00,,15.00,12.00,10.00,,135.00,28.00,212.00,192.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,23,6/6/2020,669.00,611.00,14.00,109.00,14.00,22.00,10.00,25.00,17.00,,,119.00,30.00,120.00,104.00,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,24,6/13/2020,636.00,563.00,,137.00,19.00,23.00,,15.00,,,,108.00,27.00,87.00,69.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2/8/2023,Connecticut,2020,25,6/20/2020,581.00,526.00,,133.00,18.00,20.00,,16.00,11.00,,,106.00,26.00,44.00,35.00,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
